Hemisphere,Region_Number,Region,Network_7,Red,Green,Blue,Alpha
RH,250,FPole_1,Cont,230,148,34,0
RH,251,FrMed,Cont,230,148,34,0
RH,252,IPL_1,Cont,230,148,34,0
RH,253,IPS_1,Cont,230,148,34,0
RH,254,IPS_2,Cont,230,148,34,0
RH,255,IPS_3,Cont,230,148,34,0
RH,256,Ins,Cont,230,148,34,0
RH,257,OFC,Cont,230,148,34,0
RH,258,PCC,Cont,230,148,34,0
RH,259,PFCd_1,Cont,230,148,34,0
RH,260,PFCl_1,Cont,230,148,34,0
RH,261,PFCl_2,Cont,230,148,34,0
RH,262,PFCl_3,Cont,230,148,34,0
RH,263,PFCl_4,Cont,230,148,34,0
RH,264,PFCl_5,Cont,230,148,34,0
RH,265,PFCl_6,Cont,230,148,34,0
RH,266,PFCl_7,Cont,230,148,34,0
RH,267,PFCl_8,Cont,230,148,34,0
RH,268,PFCl_9,Cont,230,148,34,0
RH,269,PFCv_1,Cont,230,148,34,0
RH,270,pCun_1,Cont,230,148,34,0
RH,271,pCun,DorsAttn,0,118,14,0
RH,272,FPole,Limbic,220,248,164,0
RH,273,Ins_6,SalVentAttn,196,58,250,0
RH,274,OFC_1,Limbic,220,248,164,0
RH,275,OFC_2,Limbic,220,248,164,0
RH,276,OFC_3,Limbic,220,248,164,0
RH,277,OFC_4,Limbic,220,248,164,0
RH,278,OFC_5,Limbic,220,248,164,0
RH,279,PFCm,Limbic,220,248,164,0
RH,280,PHC,Limbic,220,248,164,0
RH,281,TempPole_1,Limbic,220,248,164,0
RH,282,TempPole_2,Limbic,220,248,164,0
RH,283,TempPole_3,Limbic,220,248,164,0
RH,284,Temp_1,Limbic,220,248,164,0
RH,285,Temp_2,Limbic,220,248,164,0
RH,286,FrMed_1,SalVentAttn,196,58,250,0
RH,287,FrMed_2,SalVentAttn,196,58,250,0
RH,288,FrMed_3,SalVentAttn,196,58,250,0
RH,289,FrMed_4,SalVentAttn,196,58,250,0
RH,290,FrOper_1,SalVentAttn,196,58,250,0
RH,291,FrOper_2,SalVentAttn,196,58,250,0
RH,292,IPL_1,SalVentAttn,196,58,250,0
RH,293,IPL_2,SalVentAttn,196,58,250,0
RH,294,IPL_3,SalVentAttn,196,58,250,0
RH,295,IPL_4,SalVentAttn,196,58,250,0
RH,296,IPL,SomMot,70,130,180,0
RH,297,Ins_1,SalVentAttn,196,58,250,0
RH,298,Ins_2,SalVentAttn,196,58,250,0
RH,299,Ins_3,SalVentAttn,196,58,250,0
RH,300,Ins_4,SalVentAttn,196,58,250,0
RH,301,Ins_5,SalVentAttn,196,58,250,0
RH,302,PFCl,SalVentAttn,196,58,250,0
RH,303,SPL_1,SalVentAttn,196,58,250,0
RH,304,SPL_2,SalVentAttn,196,58,250,0
RH,305,SPL_3,SalVentAttn,196,58,250,0
RH,306,SPL_4,SalVentAttn,196,58,250,0
RH,307,SPL_8,DorsAttn,0,118,14,0
RH,308,Temp,SalVentAttn,196,58,250,0
RH,309,IPL_1,DorsAttn,0,118,14,0
RH,310,IPL_5,Default,205,62,78,0
RH,311,IPS_1,DorsAttn,0,118,14,0
RH,312,IPS_2,DorsAttn,0,118,14,0
RH,313,PFCd,DorsAttn,0,118,14,0
RH,314,PostC_1,DorsAttn,0,118,14,0
RH,315,PostC_2,DorsAttn,0,118,14,0
RH,316,PrCd_1,DorsAttn,0,118,14,0
RH,317,PrCd_2,DorsAttn,0,118,14,0
RH,318,PrCv_1,DorsAttn,0,118,14,0
RH,319,PrCv_2,DorsAttn,0,118,14,0
RH,320,PrCv,SalVentAttn,196,58,250,0
RH,321,SPL_1,DorsAttn,0,118,14,0
RH,322,SPL_2,DorsAttn,0,118,14,0
RH,323,SPL_3,DorsAttn,0,118,14,0
RH,324,SPL_4,DorsAttn,0,118,14,0
RH,325,SPL_5,DorsAttn,0,118,14,0
RH,326,SPL_6,DorsAttn,0,118,14,0
RH,327,SPL_7,DorsAttn,0,118,14,0
RH,328,TempOcc_1,DorsAttn,0,118,14,0
RH,329,TempOcc_2,DorsAttn,0,118,14,0
RH,330,TempOcc_3,DorsAttn,0,118,14,0
RH,331,TempOcc_4,DorsAttn,0,118,14,0
RH,332,TempOcc_5,DorsAttn,0,118,14,0
RH,333,TempOcc_6,DorsAttn,0,118,14,0
RH,334,TempOcc,Limbic,220,248,164,0
RH,335,1,SomMot,70,130,180,0
RH,336,10,SomMot,70,130,180,0
RH,337,11,SomMot,70,130,180,0
RH,338,12,SomMot,70,130,180,0
RH,339,13,SomMot,70,130,180,0
RH,340,14,SomMot,70,130,180,0
RH,341,15,SomMot,70,130,180,0
RH,342,16,SomMot,70,130,180,0
RH,343,17,SomMot,70,130,180,0
RH,344,18,SomMot,70,130,180,0
RH,345,19,SomMot,70,130,180,0
RH,346,2,SomMot,70,130,180,0
RH,347,20,SomMot,70,130,180,0
RH,348,21,SomMot,70,130,180,0
RH,349,22,SomMot,70,130,180,0
RH,350,23,SomMot,70,130,180,0
RH,351,24,SomMot,70,130,180,0
RH,352,25,SomMot,70,130,180,0
RH,353,26,SomMot,70,130,180,0
RH,354,27,SomMot,70,130,180,0
RH,355,28,SomMot,70,130,180,0
RH,356,3,SomMot,70,130,180,0
RH,357,4,SomMot,70,130,180,0
RH,358,5,SomMot,70,130,180,0
RH,359,6,SomMot,70,130,180,0
RH,360,7,SomMot,70,130,180,0
RH,361,8,SomMot,70,130,180,0
RH,362,9,SomMot,70,130,180,0
RH,363,Ins_1,SomMot,70,130,180,0
RH,364,Ins_2,SomMot,70,130,180,0
RH,365,Ins_3,SomMot,70,130,180,0
RH,366,ParOper_1,SomMot,70,130,180,0
RH,367,ParOper_2,SomMot,70,130,180,0
RH,368,ParOper_3,SomMot,70,130,180,0
RH,369,ParOper_4,SomMot,70,130,180,0
RH,370,ST_1,SomMot,70,130,180,0
RH,371,ST_2,SomMot,70,130,180,0
RH,372,ST_3,SomMot,70,130,180,0
RH,373,ST_4,SomMot,70,130,180,0
RH,374,ST_5,SomMot,70,130,180,0
RH,375,ExStrInf_1,Vis,120,18,134,0
RH,376,ExStrInf_2,Vis,120,18,134,0
RH,377,ExStrInf_3,Vis,120,18,134,0
RH,378,ExStrSup_1,Vis,120,18,134,0
RH,379,ExStrSup_2,Vis,120,18,134,0
RH,380,ExStrSup_3,Vis,120,18,134,0
RH,381,ExStrSup_4,Vis,120,18,134,0
RH,382,ExStr_1,Vis,120,18,134,0
RH,383,ExStr_10,Vis,120,18,134,0
RH,384,ExStr_11,Vis,120,18,134,0
RH,385,ExStr_12,Vis,120,18,134,0
RH,386,ExStr_13,Vis,120,18,134,0
RH,387,ExStr,Limbic,220,248,164,0
RH,388,ExStr_2,Vis,120,18,134,0
RH,389,ExStr_3,Vis,120,18,134,0
RH,390,ExStr_4,Vis,120,18,134,0
RH,391,ExStr_5,Vis,120,18,134,0
RH,392,ExStr_6,Vis,120,18,134,0
RH,393,ExStr_7,Vis,120,18,134,0
RH,394,ExStr_8,Vis,120,18,134,0
RH,395,ExStr_9,Vis,120,18,134,0
RH,396,PHC_1,Vis,120,18,134,0
RH,397,PHC_2,Vis,120,18,134,0
RH,398,Striate_1,Vis,120,18,134,0
RH,399,Striate_2,Vis,120,18,134,0
RH,400,Striate_3,Vis,120,18,134,0
