hROI-Side,hROI,Hemisphere,Abbreviation,AICHA_number,Rest_Network,xmm,ymm,zmm,vol_mm3,5_Network
S_Intraoccipital-1-R,S_Intraoccipital-1,R,ios,116,Post-Med,27.8,-69.4,33.3,384,3
S_Intraparietal-2-R,S_Intraparietal-2,R,ips2,112,Parieto-Frontal,37.4,-52.4,48.4,5752,4
S_Intraparietal-3-R,S_Intraparietal-3,R,ips3,114,Post-Med,26.4,-61.7,46.3,6168,3
S_Orbital-1-R,S_Orbital-1,R,orb1,46,Parieto-Frontal,25.8,41.5,-14.9,2960,4
S_Parietooccipital-1-R,S_Parietooccipital-1,R,pos1,284,Post-Med,13.1,-54.1,8.5,3480,3
S_Parietooccipital-2-R,S_Parietooccipital-2,R,pos2,286,Post-Med,15.9,-61.4,26.2,1264,3
S_Parietooccipital-3-R,S_Parietooccipital-3,R,pos3,288,Post-Med,14.1,-72.9,37.4,2048,3
S_Parietooccipital-5-R,S_Parietooccipital-5,R,pos5,292,Post-Med,20.9,-65.6,20.0,416,3
S_Precentral-1-R,S_Precentral-1,R,prec1,52,Parieto-Frontal,50.2,9.6,24.2,2696,4
S_Precentral-4-R,S_Precentral-4,R,prec4,58,Parieto-Frontal,43.7,1.0,48.4,4320,4
S_Sup_Frontal-2-R,S_Sup_Frontal-2,R,f1_2,10,Parieto-Frontal,28.2,56.4,7.2,4832,4
S_Sup_Temporal-3-R,S_Sup_Temporal-3,R,STS3,174,Temporo-Frontal,53.1,-31.9,-0.3,5128,2
S_Sup_Temporal-4-R,S_Sup_Temporal-4,R,STS4,176,Temporo-Frontal,54.6,-45.5,14.6,6720,2
